entity,soc
src/modules/assignments/components/assignmentDetailsDialog/OrderDetailsLoadSection.vue,1105
src/common/filter/TypeAheadField.vue,1103
src/modules/bids/services/errors/BiddingServiceErrors.ts,1097
src/modules/assignments/classes/__tests__/OrderAssignment.spec.ts,1097
src/modules/assignments/components/orders/OrderId.vue,1096
src/modules/assignments/components/ValidityCounter.vue,1096
src/modules/assignments/components/ListPagination.vue,1096
src/modules/tender/components/tender-list/TendersTable.vue,1091
src/modules/assignments/components/orders/OrderRoutePickup.vue,1087
src/modules/assignments/components/orders/OrderRouteDropoff.vue,1087
src/modules/assignments/components/orders/OrderRequirements.vue,1087
src/modules/assignments/components/assignmentDetailsDialog/OrderDetailsSectionHeadline.vue,1087
src/modules/assignments/components/orders/__tests__/OrderRouteTableCells.spec.ts,1078
src/modules/assignments/components/orders/__tests__/OrderRequirementsTableCell.spec.ts,1078
src/modules/assignments/components/orders/__tests__/OrderLoadDescriptionTableCell.spec.ts,1078
src/modules/assignments/components/orders/__tests__/OrderIdTableCell.spec.ts,1078
src/modules/assignments/components/orders/__tests__/LoadWeightSpecification.spec.ts,1078
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsTotalPrice.spec.ts,1078
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsSectionHeadline.spec.ts,1078
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsLoadSection.spec.ts,1078
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsDialogHeadline.spec.ts,1078
src/modules/marketplace/components/Marketplace.vue,1072
src/common/services/RestService.ts,1072
src/common/components/HereMap.vue,1068
src/router.ts,1060
src/modules/bids/store/getters.spec.ts,1053
src/modules/marketplace/types/storeTypes.ts,1052
src/modules/orders/segmentEvents.ts,1046
src/modules/orders/services/MarketplaceOrderService.spec.ts,1045
src/modules/filters/components/filter-bar/Sorting.spec.ts,1044
src/modules/bids/base/helpers.ts,1037
src/modules/filters/services/SavedLaneClient.spec.ts,1033
src/modules/marketplace/constants.ts,1015
src/modules/filters/events/FilterEventConsumer.ts,1013
src/modules/filters/events/FilterEvents.ts,1012
src/modules/filters/components/filter-add/FilterAdd.spec.ts,1008
src/modules/bids/services/BiddingRegularOrderService.ts,1004
src/modules/bids/app/bid-table-cell/actions/OrderListBidActions.vue,998
src/modules/assignments/types/interfaces.ts,995
src/modules/filters/events/FilterEventConsumer.spec.ts,992
src/modules/bids/app/bidding-block/useBiddingBlock.spec.ts,989
src/modules/filters/components/filter-bar/Status.vue,988
src/modules/filters/components/filter-add/SavedLaneConfirmDialog.vue,987
src/modules/filters/components/SavedLanes.vue,977
src/modules/marketplace/models/mocks/ZeroResultsRecommendedOrders.ts,976
src/modules/filters/components/SavedLanesNoResults.vue,974
src/modules/accept-now/app/useAcceptNowConfirm.spec.ts,971
src/modules/accept-now/app/AcceptNowConfirmDialog.spec.ts,969
src/modules/bids/models/BidActions.ts,965
src/modules/filters/services/SavedLaneService.ts,963
src/modules/bids/models/mocks/BidActions.ts,957
src/modules/filters/components/filter-bar/Status.spec.ts,956
src/modules/bids/models/BidCondition.ts,956
src/modules/filters/store/index.ts,953
src/modules/marketplace/components/LoadLockedPromoBanner.vue,952
src/modules/filters/services/SavedLaneService.spec.ts,940
.env.dev,938
src/modules/filters/components/filter-edit/SavedLaneEditDialog.spec.ts,934
src/common/scripts/backendClient.ts,930
src/modules/filters/services/SavedLaneClient.ts,929
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,929
.env.prod,925
src/modules/filters/models/mocks/Filter.ts,922
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderPlaceBid.spec.ts,920
src/modules/filters/components/filter-bar/useSorting.ts,919
src/modules/bids/app/bidding-block/bid-form/BidForm.vue,917
src/modules/tender/components/tender-details/__tests__/TenderDetails.spec.ts,912
src/common/components/NonAccessPlaceholder.vue,912
src/modules/filters/components/filter-details/SavedLane.spec.ts,910
src/modules/assignments/components/assignmentDetailsDialog/AssignmentDetailsView.vue,908
src/modules/filters/models/interfaces.ts,900
src/modules/next-load-suggestions/composition/useNextLoadSuggestions.ts,895
src/modules/bids/models/BidCondition.spec.ts,895
src/modules/next-load-suggestions/composition/useNextLoadSuggestions.spec.ts,894
src/modules/accept-now/app/useAcceptNowConfirm.ts,893
src/orchestrated/auth.ts,890
src/modules/filters/types/interfaces.ts,881
src/modules/filters/models/storeTypes.ts,876
src/modules/filters/models/mocks/savedLanes.mock.ts,876
src/modules/filters/models/enums.ts,876
src/modules/filters/components/filter-bar/useSorting.spec.ts,876
src/modules/assignments/components/Assignments.spec.ts,874
src/modules/tender/tender.mocks.ts,869
src/modules/assignments/store/index.ts,868
src/orchestrated/sharedData.ts,850
src/common/base/orcas.ts,849
src/modules/orders/base/helpers.ts,847
src/modules/orders/models/mocks/Order.ts,846
src/modules/bids/services/BiddingClient.ts,845
src/modules/assignments/services/backendClient.ts,845
src/modules/filters/models/serviceTypes.ts,841
src/modules/filters/models/mocks/index.ts,841
src/modules/filters/models/index.ts,841
src/modules/filters/components/filter-list/SavedLaneList.spec.ts,841
src/modules/filters/components/filter-list/SavedLaneCarousel.spec.ts,841
src/modules/filters/components/filter-details/SavedLaneDetails.spec.ts,841
src/modules/filters/components/SavedLanesNoResults.spec.ts,841
src/modules/bids/app/bid-table-cell/status/OrderListBidStatus.vue,841
src/modules/orders/components/order-details/order-content/order-mobile/OrderBidDialog.vue,837
src/modules/filters/types/serviceTypes.ts,837
src/modules/bids/app/bidding-block/confirm-bid-dialog/ConfirmBidDialog.vue,837
src/modules/filters/components/common/RadiusFilter.spec.ts,833
src/common/filter/ResetInputButton.vue,829
src/modules/assignments/types/enums.ts,826
src/modules/tender/components/tender-list/tender-table-row/TenderTableCellYourBids.vue,823
src/modules/assignments/store/mutations-types.ts,821
src/modules/assignments/store/getter-types.ts,821
src/modules/assignments/store/action-types.ts,821
src/modules/assignments/components/AssignmentsActionButtons.vue,820
src/modules/bids/app/bidding-block/BiddingBlock.vue,818
src/modules/assignments/components/orders/OrderLoadDescriptionTableCell.vue,815
src/common/services/errors/__tests__/GenericServiceErrors.spec.ts,814
src/common/filter/__tests__/AddressTypeAhead.spec.ts,811
src/orchestrated/logger.ts,810
src/modules/filters/mocks/savedLanes.mock.ts,808
src/modules/marketplace/components/MarketplaceAllLanes.vue,805
src/modules/filters/components/common/AddressTypeAhead.vue,804
src/modules/bids/app/bidding-block/bidding-statuses/useBiddingStatus.spec.ts,804
src/modules/assignments/mocks/orderAssignments.ts,804
src/modules/marketplace/components/orders/MarketplaceZeroResultsRecommendations.spec.ts,800
src/common/services/GenericService.ts,800
src/modules/filters/components/filter-bar/ListStatusBar.vue,799
src/modules/filters/components/common/ResetInputButton.vue,799
src/modules/assignments/components/orders/OrderSpecificationsTableCell.vue,797
src/modules/assignments/components/orders/OrderRequirementsTableCell.vue,797
src/modules/assignments/components/orders/OrderIdTableCell.vue,797
src/modules/assignments/components/AssignmentsTableTitles.vue,797
src/modules/filters/types/storeTypes.ts,795
src/modules/filters/types/enums.ts,795
src/modules/filters/components/filter-list/__tests__/SavedLaneCarousel.spec.ts,795
src/modules/assignments/components/AssignmentRow.spec.ts,795
src/modules/orders/types/serviceTypes.ts,792
src/modules/assignments/common/__tests__/TableTitlesWrapper.spec.ts,792
src/modules/assignments/http/errors/__tests__/GenericServiceErrors.spec.ts,791
src/modules/assignments/http/errors/GenericServiceErrors.ts,791
src/modules/assignments/mocks/order.ts,790
src/modules/filters/components/common/TypeAheadField.vue,789
src/modules/assignments/types/constants.ts,787
src/common/components/__tests__/FuelSurcharge.spec.ts,786
