entity,added,deleted,commits
src/modules/assignments/components/assignmentDetailsDialog/AssignmentDetailsView.vue,185,525,9
src/modules/marketplace/services/MarketplaceOrderService.ts,184,363,5
src/modules/bids/app/bid-details/floating-block/OrderDetailsFloatingBlock.vue,184,184,5
src/modules/assignments/services/AssignmentService.ts,183,341,15
src/modules/orders/components/order-details/order-content/order-mobile/__tests__/OrderBidBlock.spec.ts,183,154,5
src/common/base/helpers.spec.ts,183,39,4
src/modules/orders/components/order-details/order-content/order-bids/__tests__/OrderChangeBidCondition.spec.ts,183,186,4
src/modules/filters/components/filter-list/SavedLanesCarousel.vue,182,182,7
src/modules/bids-deprecated/app/bidding-block/bidding-statuses/BiddingStatuses.vue,182,0,2
src/modules/bids/app/bid-input/change-bid-condition/OrderChangeBidCondition.spec.ts,182,182,3
src/modules/filters/components/filter-add/SavedLaneConfirmDialog.vue,182,171,10
src/common/filter/Status.vue,181,453,14
src/modules/orders/store/getters.ts,181,82,12
src/common/compositions/useFeatureFlag.spec.ts,181,5,4
src/modules/filters/components/filter-bar/__tests__/Sorting.spec.ts,180,454,13
src/modules/assignments/components/orders/__tests__/VehicleTypes.spec.ts,179,487,7
src/modules/tender/components/tender-details/TenderDetails.vue,177,91,23
src/modules/tender/types/interfaces.ts,177,51,14
src/modules/filters/components/filter-bar/MarketplaceListStatusBar.vue,176,177,22
src/modules/orders/components/order-details/order-content/__tests__/OrderDetailsContent.spec.ts,176,187,10
src/modules/filters/components/filter-add/SaveFilterConfirmDialog.vue,176,88,3
src/modules/bids-deprecated/app/bid-table-cell/actions/OrderListBidActions.vue,176,31,8
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,175,51,14
src/common/components/VehicleTypes.vue,174,60,11
src/modules/bids/app/ChangeBid.spec.ts,174,174,6
src/modules/filters/components/filter-bar/MarketplaceListStatusBar.spec.ts,174,58,4
src/modules/tender/components/tender-list/TenderList.spec.ts,174,28,6
src/common/base/mocks.ts,174,130,28
src/common/config/config.ts,174,158,27
src/modules/bids/services/BiddingRegularOrderService.ts,174,174,16
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderWeekLoadChooser.spec.ts,173,14,4
src/modules/marketplace/models/TransportOffers.ts,173,38,22
src/modules/accept-now-deprecated/app/accept-now-block/AcceptNowBlock.vue,173,49,3
src/modules/assignments/base/dependencies.ts,173,269,25
src/modules/bids/app/bidding-block-actions/BiddingBlockActions.spec.ts,173,341,4
src/common/services/errors/GenericServiceErrors.ts,173,173,6
src/modules/marketplace/store/mutations.ts,172,109,24
src/modules/filters/components/filter-details/__tests__/SavedLaneDetails.spec.ts,171,407,12
README.md,170,13,10
src/common/scripts/backendClient.js,170,333,5
src/modules/bids-deprecated/app/bidding-block/bidding-statuses/bid-status/BidStatus.vue,170,0,2
src/common/http/errors/GenericServiceErrors.ts,169,21,6
src/modules/tender/components/tender-details/tender-content/tender-load-details/TenderContractInfo.vue,169,45,9
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderWeekLoadChooser.vue,169,6,3
src/modules/savedLanes/components/SavedLane.vue,169,169,3
src/common/filter/__tests__/Status.spec.ts,168,434,10
src/modules/marketplace/components/orders/useZeroResultsRecommendedOrdersHook.ts,167,210,16
src/modules/bids/app/bidding-block/bid-input/change-bid-condition/OrderChangeBidCondition.spec.ts,167,167,2
src/modules/bids/app/bidding-block/bidding-statuses/useBiddingStatus.spec.ts,167,272,8
src/modules/bids/app/bid-details/bid-input/change-bid-condition/OrderChangeBidCondition.spec.ts,167,167,2
src/modules/bids-deprecated/app/bidding-block/bid-form/useBidForm.ts,166,0,2
src/modules/accept-now/events/AcceptNowEventConsumer.ts,166,101,10
src/modules/tender/components/tender-list/TendersTable.vue,166,87,12
src/modules/accept-now-deprecated/app/AcceptNowContent.vue,166,5,4
src/modules/bids-deprecated/app/bidding-block/bidding-statuses/bid-status/BiddingStatus.spec.ts,165,1,3
src/modules/bids-deprecated/app/bid-table-cell/OrderListBid.vue,164,0,3
src/modules/assignments/store/actions.ts,164,348,17
src/experiments/time-auction/useTimeAuction.ts,163,45,3
src/modules/orders/services/__tests__/BiddingRegularOrderService.spec.ts,163,163,5
src/modules/bids/app/bid-input/change-bid-condition/OrderChangeBidCondition.vue,162,162,4
src/modules/filters/components/filter-list/FiltersCarousel.vue,162,0,1
src/modules/filters/store/actions.spec.ts,162,2,2
src/modules/filters/components/filter-list/SavedLaneCarousel.spec.ts,162,54,4
src/modules/bids-deprecated/app/bidding-block-actions/BiddingBlockActions.vue,162,0,2
src/modules/assignments/components/AssignmentRow.spec.ts,162,478,6
src/common/filter/ListStatusBar.vue,161,435,8
src/modules/bids/tracking/BidEvents.ts,161,229,8
src/modules/accept-now/services/AcceptNowService.spec.ts,161,159,7
src/modules/marketplace/store/getters.ts,161,90,21
src/modules/assignments/services/__tests__/BffAssignmentService.spec.ts,160,382,15
src/modules/bids/app/bidding-block/useCancelBidDialog.spec.ts,160,221,9
src/modules/filters/mocks/savedLanes.ts,159,247,6
src/common/components/table-plankton/__tests__/TableRow.spec.ts,159,159,3
src/common/components/load-stops-list/VerticalStepper.vue,159,159,4
src/modules/bids-deprecated/app/bid-table-cell/status/useBidStatus.spec.ts,158,0,2
src/modules/tender/components/tender-list/__tests__/TendersNoResults.spec.ts,158,158,6
src/modules/assignments/services/backendClient.ts,157,465,5
src/modules/assignments/http/GenericService.ts,157,471,4
src/modules/next-load-suggestions/app/order-next-suggestions/__tests__/NextLoadSuggestions.spec.ts,157,157,6
src/modules/tender/services/TenderService.ts,157,145,11
src/modules/bids/services/BiddingOrderService.ts,156,258,9
src/orchestrated/README.md,156,52,4
src/modules/assignments/types/interfaces.ts,156,378,11
src/modules/savedLanes/components/SavedLanesCarousel.vue,156,156,2
src/modules/assignments/components/table/__tests__/TableRow.spec.ts,155,155,2
src/modules/orders/services/BiddingRegularOrderService.ts,154,137,7
src/modules/filters/components/common/RadiusFilter.vue,154,85,11
src/modules/bids/app/bid-table-cell/OrderListBid.vue,153,222,16
src/modules/orders/components/order-details/order-next-suggestions/NextLoadSuggestions.vue,153,155,10
src/modules/orders/components/order-details/test-helpers/OrderDetailsPageWrapper.ts,153,172,7
src/modules/orders/events/OrderRepository.ts,152,41,9
src/modules/orders/components/order-details/order-content/order-load-details/order-map/OrderDetailsMap.vue,152,47,9
src/modules/bids-deprecated/app/bidding-block/useBidInAwaitingMatchingConfirmationState.spec.ts,152,0,2
src/modules/marketplace/components/MarketplaceAllLoads.spec.ts,150,1,2
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderPriceBidInput.vue,150,6,3
src/modules/orders/store/__tests__/actions.spec.ts,150,47,11
src/modules/filters/components/filter-bar/RefreshOrders.vue,149,68,2
src/assets/palette_with_boxes.svg,149,0,1
src/modules/assignments/http/errors/GenericServiceErrors.ts,148,442,5
src/modules/next-load-suggestions-deprecated/composition/useNextLoadSuggestions.spec.ts,148,22,4
src/common/components/__tests__/VehicleTypes.spec.ts,148,27,7
src/modules/bids/app/bid-table-cell/status/OrderListBidStatus.spec.ts,148,265,7
src/modules/marketplace/components/__tests__/Marketplace.spec.ts,147,166,11
src/modules/bids/app/OrderBidBlock.spec.ts,147,147,5
src/common/filter/TypeAheadField.vue,147,399,7
src/modules/accept-now/composition/useAcceptNowNotification.spec.ts,147,147,4
src/modules/marketplace/types/serviceTypes.ts,147,145,14
src/modules/filters/components/common/TypeAheadField.spec.ts,147,4,3
src/modules/assignments/components/Status.vue,146,428,5
src/modules/assignments/components/orders/VehicleTypes.vue,146,400,10
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderBidChange.vue,146,30,13
src/modules/filters/services/SavedLaneOrderService.ts,145,236,9
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderBidChange.spec.ts,145,40,11
src/modules/orders/classes/__tests__/BidCondition.spec.ts,145,145,3
