entity,fractal-value,total-revs
src/modules/bids-deprecated/app/bid-table-cell/actions/OrderListBidActions.vue,0.69,8
public/index.html,0.69,7
src/modules/assignments/types/constants.ts,0.69,7
src/modules/bids/app/bid-details/OrderBid.spec.ts,0.69,7
src/modules/bids/app/accept-now/AcceptNow.vue,0.69,7
src/modules/orders/services/BiddingRegularOrderService.ts,0.69,7
src/modules/tender/components/tender-details/tender-content/__tests__/TenderContent.spec.ts,0.69,7
src/modules/bids/composition/useLowestBidPrice.spec.ts,0.69,7
src/modules/assignments/types/enums.ts,0.69,7
src/modules/bids/app/bid-details/confirm-bid-dialog/ConfirmBidDialog.vue,0.69,7
src/modules/bids-deprecated/models/BidActions.ts,0.69,7
src/modules/bids/app/bid-details/PlaceBid.spec.ts,0.69,7
src/modules/bids/app/bid-details/bid-input/BidInputWithCondition.vue,0.69,7
src/modules/bids/app/PlaceBid.spec.ts,0.69,7
src/modules/tender/components/tender-details/tender-content/TenderBid.vue,0.69,7
src/router.ts,0.68,31
src/modules/bids/services/errors/BiddingServiceErrors.ts,0.68,14
src/modules/accept-now/app/accept-now-block/AcceptNowBlock.vue,0.68,14
src/modules/accept-now/app/accept-now-block/AcceptNowBlock.spec.ts,0.68,14
src/modules/marketplace/components/Banner.vue,0.68,12
src/modules/bids/composition/useAvailableBidActions.spec.ts,0.68,11
src/modules/accept-now/app/AcceptNowContent.spec.ts,0.68,11
src/modules/bids/services/BiddingClient.spec.ts,0.68,11
src/modules/orders/types/interfaces.ts,0.67,44
src/modules/orders/components/order-details/OrderDetailsPage.vue,0.67,43
src/modules/bids-deprecated/services/BiddingClient.ts,0.67,15
src/modules/tender/services/BiddingTenderService.ts,0.67,14
src/modules/bids/app/bidding-block/BiddingBlock.spec.ts,0.67,14
src/modules/filters/services/SavedLaneClient.ts,0.67,13
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderBidChange.vue,0.67,13
src/common/types/enums.ts,0.67,12
src/modules/bids/app/bid-details/bid-input/change-bid-condition/OrderChangeBidCondition.vue,0.67,6
src/modules/tender/components/tender-details/tender-content/__tests__/TenderRoute.spec.ts,0.67,6
src/modules/bids/app/bid-table-cell/status/useBidStatus.ts,0.67,6
src/modules/assignments/components/OrderDetailsTotalPrice.vue,0.67,6
src/modules/bids/app/bid-details/last-bid/LastBid.vue,0.67,6
src/modules/bids-deprecated/app/bidding-block/bid-form/BidForm.spec.ts,0.67,6
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderRequirements.spec.ts,0.67,6
src/modules/assignments/mocks/AssignmentService.mock.ts,0.67,6
src/modules/assignments/segmentEvents.ts,0.67,6
src/modules/accept-now-deprecated/app/accept-now-action/AcceptNowAction.vue,0.67,6
src/modules/orders/components/order-details/order-content/order-load-details/order-description/__tests__/OrderDetailsDescription.spec.ts,0.67,6
src/common/classes/DayDifference.ts,0.67,3
src/modules/marketplace/components/orders/__tests__/OrderPalletExchangeTableCell.spec.ts,0.67,3
.nvmrc,0.67,3
src/modules/tender/components/tender-list/tender-table-row/TenderBidStatus.vue,0.67,3
src/common/services/VehicleTypesService.ts,0.67,3
src/modules/tender/classes/tender-details/TenderDetailsResponse.ts,0.67,3
src/modules/orders/components/order-details/order-next-suggestions/__tests__/AlertModal.spec.ts,0.67,3
src/common/components/load-stops-list/__tests__/verticalStepper.spec.ts,0.67,3
src/tracking/segmentEvents.ts,0.67,3
src/common/components/load-stops-list/__tests__/loadStopsList.spec.ts,0.67,3
src/modules/bids/app/bid-details/OrderBidBlock.vue,0.67,3
jest.base.config.js,0.67,3
src/tenants.ts,0.67,3
src/modules/accept-now-deprecated/app/accept-now-block/AcceptNowBlock.vue,0.67,3
src/modules/marketplace/components/LoadMore/__tests__/LoadMore.spec.ts,0.67,3
src/modules/bids/app/bid-details/bid-input/BidInputWithCondition.spec.ts,0.67,3
src/error-handler.ts,0.67,3
src/modules/accept-now/services/index.ts,0.67,3
src/common/components/load-stops-list/RouteDistance.vue,0.67,3
src/modules/marketplace/analytics/SegmentObserver.ts,0.67,3
src/common/classes/__tests__/DayDifference.spec.ts,0.67,3
src/modules/marketplace/components/orders/__tests__/OrderActionsButtonTableCell.spec.ts,0.67,3
src/common/components/__tests__/TableNoResults.spec.ts,0.67,3
ReadMe.md,0.67,3
src/common/components/TableNoResults.vue,0.67,3
src/common/components/load-stops-list/__tests__/RouteNotes.spec.ts,0.67,3
src/modules/filters/components/common/TypeAheadField.spec.ts,0.67,3
src/modules/accept-now-deprecated/app/AcceptNowConfirmDialog.spec.ts,0.67,3
src/modules/accept-now/composition/index.ts,0.67,3
src/modules/orders/classes/__tests__/SingleStop.spec.ts,0.67,3
src/modules/next-load-suggestions/app/order-next-suggestions/OrderRouteTableCells.vue,0.67,3
src/modules/filters/featureFlags.ts,0.67,3
src/orchestrated/sentry.ts,0.67,3
lefthook.yml,0.67,3
src/common/base/mixins/refreshDialogMixin.ts,0.67,3
src/modules/orders/mocks/MarketplaceService.mock.ts,0.67,3
src/setup-jest.ts,0.66,44
src/routes.ts,0.66,19
src/modules/bids/models/BidActions.ts,0.66,16
src/modules/orders/mocks/store.mock.ts,0.66,14
src/modules/orders/components/order-details/order-content/order-mobile/__tests__/OrderBidDialog.spec.ts,0.66,11
src/modules/assignments/mocks/store.mock.ts,0.66,10
src/modules/bids/composition/useBids.spec.ts,0.66,8
src/modules/orders/components/common/__tests__/OrderRouteStop.spec.ts,0.66,8
src/modules/assignments/components/AssignmentsFilters.vue,0.66,8
src/modules/bids/store/mutations.ts,0.66,8
src/modules/marketplace/components/orders/OrderActionsButtonTableCell.vue,0.66,8
src/modules/accept-now-deprecated/services/AcceptNowService.spec.ts,0.66,8
src/modules/bids/app/OrderBid.vue,0.66,8
src/tracking/helpers.ts,0.66,8
src/modules/bids-deprecated/models/Bid.ts,0.66,8
src/modules/marketplace/store/actions.ts,0.65,47
src/modules/bids/models/mocks/Bid.ts,0.65,24
src/modules/bids-deprecated/services/BiddingClient.spec.ts,0.65,14
src/modules/accept-now/services/AcceptNowService.spec.ts,0.65,7
src/config.ts,0.65,7
src/modules/marketplace/components/orders/__tests__/MarketplaceOrderRow.spec.ts,0.64,40
src/modules/bids/models/Bid.ts,0.64,35
src/modules/accept-now/app/useAcceptNowConfirm.ts,0.64,25
src/modules/bids/store/getters.ts,0.64,23
src/modules/marketplace/components/Marketplace.vue,0.64,22
src/modules/marketplace/models/TransportOffers.ts,0.64,22
src/common/http/http-client.spec.ts,0.64,18
src/modules/bids/store/getters.spec.ts,0.64,17
src/common/http/http-client.ts,0.64,17
src/modules/tender/services/TenderService.ts,0.64,11
src/modules/orders/components/order-details/order-content/order-load-details/order-route-details/__tests__/verticalStepper.spec.ts,0.64,10
src/modules/bids/tracking/trackBidEvent.ts,0.64,9
src/modules/tender/components/tender-details/tender-content/tender-load-details/TenderContractInfo.vue,0.64,9
src/modules/bids/app/bid-details/cta-buttons/CTAButtons.vue,0.64,5
src/modules/bids-deprecated/app/bidding-block/bid-form/BidForm.vue,0.64,5
src/modules/assignments/components/orders/__tests__/OrderRequirementsTableCell.spec.ts,0.64,5
src/modules/assignments/components/Status.vue,0.64,5
src/modules/tender/classes/tender-details/__tests__/LoadRequirement.spec.ts,0.64,5
src/modules/assignments/components/orders/OrderRouteDropoff.vue,0.64,5
src/modules/assignments/components/orders/__tests__/OrderRouteTableCells.spec.ts,0.64,5
src/experiments/price-guidance/components/PriceGuidanceBanner.spec.ts,0.64,5
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,0.64,5
src/modules/tender/classes/tender-details/__tests__/ContractInfo.spec.ts,0.64,5
src/modules/assignments/components/orders/__tests__/OrderLoadDescriptionTableCell.spec.ts,0.64,5
src/common/scripts/backendClient.js,0.64,5
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsSectionHeadline.spec.ts,0.64,5
src/modules/bids/app/OrderBidBlock.spec.ts,0.64,5
src/modules/bids-deprecated/app/bidding-block/useBiddingBlock.spec.ts,0.64,5
src/modules/assignments/components/assignmentDetailsDialog/OrderDetailsSectionHeadline.vue,0.64,5
src/modules/assignments/components/orders/OrderRoutePickup.vue,0.64,5
src/modules/assignments/components/orders/__tests__/OrderIdTableCell.spec.ts,0.64,5
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsLoadSection.spec.ts,0.64,5
src/modules/filters/components/common/RadiusFilter.spec.ts,0.64,5
src/modules/marketplace/components/orders/__tests__/OrderRouteTableCells.spec.ts,0.64,5
src/modules/bids/app/floating-block/OrderDetailsFloatingBlock.vue,0.64,5
src/modules/bids/services/BiddingSpotOrderService.spec.ts,0.64,5
src/modules/bids/app/bid-input/BidInputWithCondition.vue,0.64,5
src/modules/marketplace/featureFlags.ts,0.64,5
src/modules/assignments/components/orders/OrderRequirements.vue,0.64,5
src/modules/assignments/base/mixins/autoReload.ts,0.64,5
src/modules/bids-deprecated/app/bid-table-cell/actions/OrderListBidActions.spec.ts,0.64,5
src/modules/bids/app/bidding-block-actions/BiddingBlockActions.vue,0.64,5
.husky/pre-commit,0.64,5
src/modules/tender/services/BiddingTenderService.spec.ts,0.64,5
src/modules/bids-deprecated/app/bidding-block/cancel-bid-dialog/CancelBidDialog.vue,0.64,5
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsDialogHeadline.spec.ts,0.64,5
sonar-project.properties,0.64,5
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsTotalPrice.spec.ts,0.64,5
src/modules/assignments/components/orders/__tests__/LoadWeightSpecification.spec.ts,0.64,5
src/modules/bids/app/bid-table-cell/status/useBidStatus.spec.ts,0.64,5
src/modules/bids/app/bid-details/floating-block/OrderDetailsFloatingBlock.vue,0.64,5
.gitlab-ci.yml,0.63,102
src/modules/filters/components/filter-add/FilterAdd.vue,0.63,34
src/orchestrated/auth.ts,0.63,26
src/modules/accept-now/app/useAcceptNowConfirm.spec.ts,0.63,26
src/modules/marketplace/store/mutations.ts,0.63,24
src/modules/marketplace/store/index.ts,0.63,21
src/modules/orders/base/dependencies.ts,0.63,21
src/modules/accept-now/models/accept-now.ts,0.63,17
src/modules/bids/app/bid-table-cell/OrderListBid.vue,0.63,16
src/modules/filters/components/filter-edit/SavedLaneEditDialog.vue,0.63,16
src/modules/bids/base/helpers.ts,0.63,13
src/modules/bids/store/actions.ts,0.63,11
src/modules/assignments/components/Assignments.spec.ts,0.63,8
src/modules/bids/services/BiddingOrderService.spec.ts,0.63,8
src/tracking/segment.ts,0.63,8
src/modules/bids/store/actions.spec.ts,0.63,8
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderWeekLoadChooser.spec.ts,0.63,4
src/modules/orders/mocks/marketplaceService.mocks.ts,0.63,4
src/common/testing/test-helpers.ts,0.63,4
src/modules/tender/components/tender-details/__tests__/TenderError.spec.ts,0.63,4
src/modules/bids/app/bidding-block/useBidInAcceptedState.ts,0.63,4
src/modules/tender/components/tender-details/tender-content/tender-load-details/TenderLoadDetails.vue,0.63,4
src/modules/accept-now/composition/useAcceptNowNotification.ts,0.63,4
src/modules/bids/app/CancelBid.spec.ts,0.63,4
src/modules/bids/models/BidCondition.spec.ts,0.63,4
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderBidChangeDialog.spec.ts,0.63,4
src/modules/bids/app/bidding-block/bidding-statuses/BiddingStatuses.vue,0.63,4
src/modules/accept-now-deprecated/app/accept-now-action/AcceptNowAction.spec.ts,0.63,4
src/modules/bids/models/mocks/ResponseWrapper.ts,0.63,4
src/modules/bids/composition/index.ts,0.63,4
src/modules/next-load-suggestions-deprecated/composition/useNextLoadSuggestions.ts,0.63,4
src/modules/bids-deprecated/composition/useAvailableBidActions.ts,0.63,4
src/modules/next-load-suggestions-deprecated/app/order-next-suggestions/NextLoadSuggestionRow.spec.ts,0.63,4
src/common/services/authService.ts,0.63,4
src/modules/next-load-suggestions-deprecated/composition/useNextLoadSuggestions.spec.ts,0.63,4
src/modules/bids/app/OrderBidBlock.vue,0.63,4
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderLoadDetails.spec.ts,0.63,4
src/modules/bids/services/mocks/BiddingService-mock.ts,0.63,4
src/modules/tender/types/serviceTypes.ts,0.63,4
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderVehicles.spec.ts,0.63,4
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderSpecifications.spec.ts,0.63,4
src/modules/bids-deprecated/composition/useAvailableBidActions.spec.ts,0.63,4
src/modules/orders/components/order-details/order-content/order-load-details/order-description/__tests__/OrderDetailsLoadSection.spec.ts,0.63,4
jest.base.config.ts,0.63,4
src/modules/bids/app/bidding-block/awaiting-matching-confirmation-state/AwaitingMatchingConfirmationState.vue,0.63,4
src/modules/assignments/components/__tests__/AssignmentRow.spec.ts,0.63,4
src/common/components/DayDifference.vue,0.63,4
src/modules/accept-now-deprecated/app/accept-now-block/AcceptNowBlock.spec.ts,0.63,4
src/modules/bids/services/index.ts,0.63,4
src/modules/bids-deprecated/services/errors/BiddingServiceErrors.ts,0.63,4
src/modules/accept-now/composition/useAcceptNowNotification.spec.ts,0.63,4
src/modules/bids/composition/useBids.ts,0.63,4
src/modules/bids/app/bidding-block-actions/BiddingBlockActions.spec.ts,0.63,4
src/modules/tender/store/mutations.ts,0.63,4
src/modules/bids/app/accept-now/AcceptNow.spec.ts,0.63,4
src/common/components/__tests__/MapPlaceholder.spec.ts,0.63,4
src/modules/assignments/components/ValidityCounter.spec.ts,0.63,4
src/modules/bids-deprecated/app/bidding-block/BiddingBlock.vue,0.63,4
src/modules/assignments/components/AssignmentsFilters.spec.ts,0.63,4
src/modules/orders/components/order-details/order-content/order-load-details/OrderDetailsExpectedCost.vue,0.63,4
src/modules/accept-now-deprecated/app/AcceptNowContent.vue,0.63,4
src/modules/orders/mocks/marketplace.mocks.ts,0.62,58
src/modules/marketplace/components/orders/MarketplaceOrderRow.vue,0.62,50
src/modules/orders/services/MarketplaceOrderService.ts,0.62,42
src/modules/orders/services/marketplace-transformers.spec.ts,0.62,29
src/modules/orders/mocks/transport-offers.mock.ts,0.62,28
src/common/base/helpers.ts,0.62,25
src/modules/tender/components/tender-details/TenderDetails.vue,0.62,23
src/modules/tender/base/dependencies.ts,0.62,18
src/modules/orders/components/order-details/order-content/__tests__/OrderDetailsContent.spec.ts,0.62,10
src/modules/accept-now/services/AcceptNowService.ts,0.62,10
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderPlaceBid.vue,0.62,9
src/modules/orders/services/marketplace-transformers.ts,0.61,32
src/store/index.ts,0.61,24
src/common/scripts/backendClient.ts,0.61,22
src/modules/marketplace/types/storeTypes.ts,0.61,17
src/modules/filters/services/SavedLaneClient.spec.ts,0.61,14
src/modules/orders/components/order-details/order-content/order-bids/OrderBid.vue,0.61,14
src/modules/orders/components/order-details/order-content/order-mobile/OrderBidDialog.vue,0.61,12
src/modules/tender/components/tender-details/tender-content/TenderContent.vue,0.61,12
src/common/components/VehicleTypes.vue,0.61,11
src/modules/filters/components/filter-details/SavedLaneDetails.vue,0.61,11
src/modules/assignments/types/interfaces.ts,0.61,11
src/App.spec.ts,0.61,11
src/languages/it.json,0.61,7
src/modules/assignments/components/assignmentDetailsDialog/OrderDetailsLoadSectionDetails.vue,0.61,7
src/languages/de.json,0.61,7
src/modules/bids/app/bidding-block/bid-input/change-bid-condition/OrderChangeBidCondition.vue,0.61,7
src/modules/orders/components/order-details/order-content/useSelectedOrder.spec.ts,0.61,7
src/modules/orders/components/order-details/order-content/useSelectedOrder.ts,0.61,7
src/modules/bids/app/bidding-block/bid-input/BidInputWithCondition.vue,0.61,7
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsLoadSectionDetails.spec.ts,0.61,7
src/languages/es.json,0.61,7
src/modules/marketplace/components/orders/MarketplaceTableTitles.vue,0.61,7
src/languages/pl.json,0.61,7
src/languages/fr.json,0.61,7
src/languages/ru.json,0.61,7
src/modules/orders/components/order-details/test-helpers/OrderDetailsPageWrapper.ts,0.61,7
src/modules/assignments/components/orders/OrderRouteTableCells.vue,0.61,7
src/modules/assignments/components/assignmentDetailsDialog/OrderDetailsLoadContent.vue,0.61,7
src/languages/pt.json,0.61,7
src/common/components/OrderDistance.vue,0.61,6
src/modules/bids/app/ChangeBid.spec.ts,0.61,6
src/modules/assignments/components/AssignmentsActionButtons.vue,0.61,6
src/modules/bids-deprecated/models/mocks/BidActions.ts,0.61,6
src/modules/bids/featureFlags.ts,0.61,6
src/modules/bids/services/BiddingSpotOrderService.ts,0.61,6
src/modules/assignments/components/ListPagination.vue,0.61,6
src/types/sharedData.d.ts,0.61,6
src/modules/assignments/mocks/orderAssignments.ts,0.61,6
src/modules/assignments/common/__tests__/Table.spec.ts,0.61,6
src/modules/assignments/components/orders/__tests__/ContactTableCell.spec.ts,0.61,6
src/modules/bids/models/BidCondition.ts,0.61,6
src/modules/orders/services/errors/OrderServiceErrors.ts,0.61,6
src/modules/next-load-suggestions/app/order-next-suggestions/__tests__/NextLoadSuggestions.spec.ts,0.61,6
src/modules/assignments/services/__tests__/MothershipAssignmentService.spec.ts,0.61,6
src/modules/bids/store/mutations.spec.ts,0.61,6
src/modules/tender/components/tender-list/__tests__/TenderTableRow.spec.ts,0.61,6
src/modules/assignments/components/assignmentDetailsDialog/OrderDetailsLoadSection.vue,0.61,6
src/modules/tender/classes/tender-details/ContractInfo.ts,0.61,6
src/modules/bids/app/OrderBid.spec.ts,0.61,6
src/modules/bids-deprecated/store/actions.spec.ts,0.61,6
src/modules/bids-deprecated/events/BidEventConsumer.spec.ts,0.61,6
src/modules/bids-deprecated/store/actions.ts,0.61,6
src/modules/assignments/components/AssignmentRow.spec.ts,0.61,6
src/modules/tender/components/tender-list/__tests__/TendersTable.spec.ts,0.61,6
src/modules/orders/components/order-details/__tests__/OrderDetailsPage.spec.ts,0.6,33
src/modules/marketplace/store/getters.ts,0.6,21
src/modules/tender/tender.mocks.ts,0.6,15
src/modules/marketplace/types/serviceTypes.ts,0.6,14
src/modules/marketplace/components/__tests__/Marketplace.spec.ts,0.6,11
src/modules/bids/store/index.ts,0.6,11
src/orchestrator-setup.ts,0.6,11
src/modules/orders/mocks/orders.mock.ts,0.59,37
src/modules/marketplace/components/orders/MarketplaceOrderList.spec.ts,0.59,20
src/modules/assignments/store/actions.ts,0.59,17
src/modules/bids/models/mocks/BidActions.ts,0.59,13
src/modules/orders/types/serviceTypes.ts,0.59,13
src/modules/bids/services/BiddingOrderService.ts,0.59,9
src/modules/bids-deprecated/app/bid-table-cell/OrderListBid.spec.ts,0.59,9
src/modules/filters/components/filter-add/FilterAdd.spec.ts,0.59,9
src/modules/filters/components/filter-add/__tests__/FilterAdd.spec.ts,0.59,9
src/modules/filters/components/common/AddressTypeAhead.vue,0.59,9
src/modules/assignments/components/assignmentDetailsDialog/AssignmentDetailsView.vue,0.59,9
src/common/filter/ListStatusBar.vue,0.59,8
src/modules/orders/components/common/OrderRoute.vue,0.59,8
src/modules/orders/components/common/OrderRouteStop.vue,0.59,8
src/modules/assignments/store/getters.ts,0.59,8
src/modules/marketplace/components/orders/OrderRouteTableCells.vue,0.59,8
src/modules/assignments/store/mutations.ts,0.59,8
src/modules/assignments/components/assignmentDetailsDialog/__tests__/AssignmentDetailsView.spec.ts,0.59,8
src/modules/assignments/types/storeTypes.ts,0.59,8
src/modules/assignments/components/assignmentDetailsDialog/__tests__/OrderDetailsLoadContent.spec.ts,0.59,8
src/common/filter/DateRangePicker.vue,0.59,8
src/common/types/interfaces.ts,0.58,44
src/common/filter/Status.vue,0.58,14
src/modules/marketplace/components/MarketplaceSavedLanes.vue,0.58,13
src/modules/accept-now/app/AcceptNowContent.vue,0.58,10
